
=== 端到端:贪心策略(试走 6 个工具,选诊断降幅最大的;降幅 <= τ 就停)===
任务                         τ=0.0      完美停手
haze_00                   0.0000    0.0000
haze_01                   0.5162    0.5162
low_light_00              0.4096    1.0000
low_light_01              0.6730    0.9650
noise_00                  0.9107    0.9107
noise_01                  0.0568    0.8276
haze_low_light_00         0.6071    0.6071
haze_low_light_01         0.2670    0.2672
low_light_noise_00        0.6489    0.6489
low_light_noise_01        0.7104    0.7104
haze_noise_00             0.2698    0.2698
haze_noise_01             0.5397    0.5397
合计                        5.6092    7.2625
  「完美停手」= 同一条贪心轨迹上出现过的最高分。它和 τ 那几列的差,
  就是「走过最优点却不知道该停」白丢的分 —— 不需要更好的工具,只需要知道何时收手。
