materialized 3 task(s) -> /Users/opall/research/restore-rsi/reef_example/work/recipes/harness_evolve.yaml, /Users/opall/research/restore-rsi/reef_example/work/tasks.json
== record+report: 1 task(s), scenario restore-evolve
task 1 haze_low_light_00: score 0.0000 (no plan) receipt 3d7a53a60b3645228313af998fc9b842 9s
  reply: '<｜｜DSML｜｜tool_calls>\n<｜｜DSML｜｜invoke name="shell">\n<｜｜DSML｜｜parameter name="command" string="true">cd /Users/opall/research/restore-rsi && restore diagnose /Users/opall/research/restore-rsi/tasks/data/haze_low_light_00/input_000.png</｜｜DSML｜｜parameter>\n</｜｜DSML｜｜invoke>\n</｜｜DSML｜｜tool_calls>'
1 failing report(s) batched; each triggers one gated evolve step (episodes take minutes)
  service busy (TimeoutError); evolve step still running
  status: {"last_drain_at": null, "preload_errors": {}, "scenarios": {"restore-evolve": {"batch_ready": false, "checkpoint_storage": null, "current_runtime_load_id": null, "inference_admission": {"active": 0, "open": true}, "last_committed_step": {"metrics": {"candidate_score": 0.22240000000000001, "current_s
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
  service busy (URLError); evolve step still running
till running
12:16:38   service busy (URLError); evolve step still running
12:16:48   service busy (URLError); evolve step still running
12:16:58   service busy (URLError); evolve step still running
12:17:08   service busy (URLError); evolve step still running
12:17:18   service busy (URLError); evolve step still running
12:17:28   service busy (URLError); evolve step still running
12:17:38   service busy (URLError); evolve step still running
12:17:48   service busy (URLError); evolve step still running
12:17:58   service busy (URLError); evolve step still running
12:18:08   service busy (URLError); evolve step still running
12:18:18   service busy (URLError); evolve step still running
12:18:28   service busy (URLError); evolve step still running
12:18:38   service busy (URLError); evolve step still running
12:18:48   service busy (URLError); evolve step still running
12:18:58   service busy (URLError); evolve step still running
12:19:09   service busy (URLError); evolve step still running
12:19:19   service busy (URLError); evolve step still running
12:19:29   service busy (URLError); evolve step still running
12:19:39   service busy (URLError); evolve step still running
12:19:49   service busy (URLError); evolve step still running
12:19:59   service busy (URLError); evolve step still running
12:20:09   service busy (URLError); evolve step still running
12:20:19   service busy (URLError); evolve step still running
12:20:29   service busy (URLError); evolve step still running
12:20:39   service busy (URLError); evolve step still running
12:20:49   service busy (URLError); evolve step still running
12:20:59   service busy (URLError); evolve step still running
12:21:09   service busy (URLError); evolve step still running
12:21:19   service busy (URLError); evolve step still running
12:21:29   service busy (URLError); evolve step still running
12:21:39   service busy (URLError); evolve step still running
12:21:49   service busy (URLError); evolve step still running
12:21:59   service busy (URLError); evolve step still running
12:22:09   service busy (URLError); evolve step still running
12:22:19   service busy (URLError); evolve step still running
12:22:29   service busy (URLError); evolve step still running
12:22:39   service busy (URLError); evolve step still running
12:22:49   service busy (URLError); evolve step still running
12:22:59   service busy (URLError); evolve step still running
12:23:09   service busy (URLError); evolve step still running
12:23:19   service busy (URLError); evolve step still running
12:23:29   service busy (URLError); evolve step still running
12:23:39   service busy (URLError); evolve step still running
12:23:49   service busy (URLError); evolve step still running
12:23:59   service busy (URLError); evolve step still running
12:24:09   service busy (URLError); evolve step still running
12:24:19   service busy (URLError); evolve step still running
12:24:29   service busy (URLError); evolve step still running
12:24:39   service busy (URLError); evolve step still running
12:24:49   service busy (URLError); evolve step still running
12:24:59   service busy (URLError); evolve step still running
12:25:09   service busy (URLError); evolve step still running
12:25:19   service busy (URLError); evolve step still running
12:25:29   service busy (URLError); evolve step still running
12:25:39   service busy (URLError); evolve step still running
12:25:49   service busy (URLError); evolve step still running
12:25:59   service busy (URLError); evolve step still running
12:26:09   service busy (URLError); evolve step still running
12:26:19   service busy (URLError); evolve step still running
12:26:29   service busy (URLError); evolve step still running
12:26:39   service busy (URLError); evolve step still running
12:26:49   service busy (URLError); evolve step still running
12:26:59   service busy (URLError); evolve step still running
12:27:09   service busy (URLError); evolve step still running
12:27:19   service busy (URLError); evolve step still running
12:27:29   service busy (URLError); evolve step still running
12:27:39   service busy (URLError); evolve step still running
12:27:49   service busy (URLError); evolve step still running
12:27:59   service busy (URLError); evolve step still running
12:28:09   service busy (URLError); evolve step still running
12:28:19   service busy (URLError); evolve step still running
12:28:29   service busy (URLError); evolve step still running
12:28:39   service busy (URLError); evolve step still running
12:28:49   service busy (URLError); evolve step still running
12:28:59   service busy (URLError); evolve step still running
12:29:09   service busy (URLError); evolve step still running
12:29:19   service busy (URLError); evolve step still running
12:29:29   service busy (URLError); evolve step still running
12:29:39   service busy (URLError); evolve step still running
12:29:49   service busy (URLError); evolve step still running
12:29:59   service busy (URLError); evolve step still running
12:30:09   service busy (URLError); evolve step still running
12:30:19   service busy (URLError); evolve step still running
12:30:29   service busy (URLError); evolve step still running
12:30:39   service busy (URLError); evolve step still running
12:30:49   service busy (URLError); evolve step still running
12:30:59   service busy (URLError); evolve step still running
12:31:09   service busy (URLError); evolve step still running
12:31:19   service busy (URLError); evolve step still running
12:31:29   service busy (URLError); evolve step still running
12:31:39   service busy (URLError); evolve step still running
12:31:49   service busy (URLError); evolve step still running
12:31:59   service busy (URLError); evolve step still running
12:32:09   service busy (URLError); evolve step still running
12:32:19   service busy (URLError); evolve step still running
12:32:29   service busy (URLError); evolve step still running
12:32:39   service busy (URLError); evolve step still running
12:32:49   service busy (URLError); evolve step still running
12:32:59   service busy (URLError); evolve step still running
12:33:09   service busy (URLError); evolve step still running
12:33:19   service busy (URLError); evolve step still running
12:33:29   service busy (URLError); evolve step still running
12:33:39   service busy (URLError); evolve step still running
12:33:49   service busy (URLError); evolve step still running
12:33:59   service busy (URLError); evolve step still running
12:34:09   service busy (URLError); evolve step still running
12:34:19   service busy (URLError); evolve step still running
12:34:29   service busy (URLError); evolve step still running
12:34:39   service busy (URLError); evolve step still running
12:34:49   service busy (URLError); evolve step still running
